filepath,filename,actor,gender,emotion_code,emotion,intensity,statement,repetition,modality,vocal_channel,duration_sec,label_encoded
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,1,male,1,neutral,normal,1,1,audio,speech,3.303,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,1,male,1,neutral,normal,1,2,audio,speech,3.337,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,1,male,1,neutral,normal,2,1,audio,speech,3.27,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,1,male,1,neutral,normal,2,2,audio,speech,3.17,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,1,male,2,calm,normal,1,1,audio,speech,3.537,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,1,male,2,calm,normal,1,2,audio,speech,3.604,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,1,male,2,calm,normal,2,1,audio,speech,3.503,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,1,male,2,calm,normal,2,2,audio,speech,3.47,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,1,male,2,calm,strong,1,1,audio,speech,3.704,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,1,male,2,calm,strong,1,2,audio,speech,4.004,1
